symbol,hist_total_trades,hist_win_rate,hist_avg_pnl,hist_avg_score,hist_strength_score
OGE,556,0.8022,0.0236,0.8100,4.2048
PRU,397,0.8237,0.0472,0.8142,4.2043
FR,524,0.7958,0.0383,0.8119,4.2019
TRV,654,0.7752,0.0308,0.8108,4.2013
MPWR,418,0.8110,0.0534,0.8145,4.2013
REG,479,0.8100,0.0310,0.8146,4.2002
SIKA.SW,566,0.7915,0.0306,0.8118,4.1988
COR,523,0.7935,0.0367,0.8149,4.1974
NEU,776,0.7461,0.0416,0.8115,4.1972
EWI.L,523,0.8107,0.0294,0.8031,4.1962
AN,682,0.7507,0.0516,0.8144,4.1960
CMCSA,695,0.7640,0.0351,0.8103,4.1943
CHRW,524,0.8015,0.0349,0.8070,4.1924
ENPH,299,0.8227,0.0954,0.8156,4.1922
AFX.DE,507,0.7909,0.0440,0.8147,4.1912
MKSI,518,0.7799,0.0544,0.8151,4.1903
CCEP.L,92,0.7717,0.4922,0.8027,4.1898
CBK.DE,586,0.7730,0.0444,0.8140,4.1897
NOVT,544,0.7776,0.0514,0.8128,4.1868
M,654,0.7554,0.0498,0.8142,4.1867
PAYX,656,0.7729,0.0348,0.8067,4.1857
SNPS,612,0.7729,0.0408,0.8106,4.1854
D,556,0.8022,0.0228,0.8068,4.1852
ABBN.SW,428,0.8131,0.0453,0.8120,4.1834
TSLA,329,0.8176,0.0654,0.8278,4.1819
BHP.L,518,0.7876,0.0437,0.8137,4.1819
JBHT,759,0.7470,0.0391,0.8118,4.1800
SAB.MC,409,0.7995,0.0495,0.8280,4.1796
ILMN,557,0.7702,0.0554,0.8128,4.1787
MGAM.L,617,0.7715,0.0448,0.8067,4.1787
BRBY.L,426,0.8146,0.0420,0.8128,4.1786
EZJ.L,487,0.7864,0.0472,0.8195,4.1779
MPC,272,0.8603,0.0503,0.8241,4.1770
RL,526,0.7890,0.0419,0.8106,4.1759
RGEN,736,0.7310,0.0630,0.8139,4.1756
LAD,595,0.7597,0.0524,0.8172,4.1752
THG,479,0.8121,0.0324,0.8066,4.1752
ITT,477,0.7966,0.0383,0.8181,4.1751
YUM,458,0.8188,0.0314,0.8067,4.1750
LVS,403,0.8089,0.0575,0.8127,4.1722
PNW,628,0.7818,0.0263,0.8066,4.1709
